Sl. No.,Crime Head,Persons Arrested - Male - ( Col. 3),Persons Arrested - Female - ( Col. 4),Persons Arrested - Transgender - ( Col. 5),Persons Arrested - Total - ( Col. 6),Persons Chargesheeted - Male - ( Col. 7),Persons Chargesheeted - Female - ( Col. 8),Persons Chargesheeted - Transgender - ( Col. 9),Persons Chargesheeted - Total - ( Col. 10),Persons Convicted - Male - ( Col. 11),Persons Convicted - Female - ( Col. 12),Persons Convicted - Transgender - ( Col. 13),Persons Convicted - Total - ( Col. 14),Persons Discharged - Male - ( Col. 15),Persons Discharged - Female - ( Col. 16),Persons Discharged - Transgender - ( Col. 17),Persons Discharged - Total - ( Col. 18),Persons Acquitted - Male - ( Col. 19),Persons Acquitted - Female - ( Col. 20),Persons Acquitted - Transgender - ( Col. 21),Persons Acquitted - Total - ( Col. 22)
1,Murder,1793,149,0,1942,1851,140,0,1991,255,10,0,265,13,1,0,14,255,33,0,288
1.1,Murder with Rape/POCSO,151,5,0,156,232,5,0,237,48,1,0,49,1,0,0,1,16,1,0,17
1.2,Other Murder,1642,144,0,1786,1619,135,0,1754,207,9,0,216,12,1,0,13,239,32,0,271
2,Abetment of Suicide of Child,446,30,0,476,432,26,0,458,31,0,0,31,5,0,0,5,131,12,0,143
3,Attempt to Commit Murder,553,13,0,566,500,7,0,507,32,1,0,33,10,0,0,10,73,3,0,76
4,Infanticide,42,15,0,57,29,12,0,41,1,2,0,3,0,0,0,0,11,2,0,13
5,Foeticide,64,13,0,77,59,8,0,67,7,0,0,7,0,0,0,0,48,3,0,51
6,Exposure and Abandonment,135,97,0,232,134,93,0,227,14,15,0,29,1,1,0,2,46,18,0,64
7,Simple Hurt,1880,117,0,1997,4529,379,0,4908,718,15,0,733,224,9,0,233,1433,36,0,1469
8,Grievous Hurt,500,23,0,523,607,33,0,640,27,1,0,28,12,0,0,12,110,0,0,110
9,Kidnapping and Abduction of Children,31678,1025,3,32706,36377,1065,1,37443,2038,42,0,2080,1273,25,0,1298,8292,255,0,8547
9.1,Kidnapping and Abduction,16156,539,0,16695,18922,502,1,19425,996,18,0,1014,897,23,0,920,3933,108,0,4041
9.1A,Missing Children Deemed as Kidnapped,8464,298,0,8762,8983,274,0,9257,493,12,0,505,458,19,0,477,2015,57,0,2072
9.1B,Other Kidnapping & Abduction,7692,241,0,7933,9939,228,1,10168,503,6,0,509,439,4,0,443,1918,51,0,1969
9.2,Kidnapping and Abduction for the Purpose of Begging,77,2,3,82,61,2,0,63,6,2,0,8,6,0,0,6,14,0,0,14
9.3,Kidnapping and Abduction in order to Murder,70,3,0,73,64,0,0,64,4,0,0,4,0,0,0,0,11,2,0,13
9.4,Kidnapping for Ransom,171,10,0,181,143,9,0,152,17,1,0,18,0,0,0,0,34,1,0,35
9.5,Kidnapping and Abduction of Minor Girls to compel her for marriage,11161,372,0,11533,11767,455,0,12222,814,15,0,829,343,1,0,344,2642,107,0,2749
