Sl. No.,Crime Head,Persons Arrested - Male - ( Col. 3),Persons Arrested - Female - ( Col. 4),Persons Arrested - Transgender - ( Col. 5),Persons Arrested - Total - ( Col. 6),Persons Chargesheeted - Male - ( Col. 7),Persons Chargesheeted - Female - ( Col. 8),Persons Chargesheeted - Transgender - ( Col. 9),Persons Chargesheeted - Total - ( Col. 10),Persons Convicted - Male - ( Col. 11),Persons Convicted - Female - ( Col. 12),Persons Convicted - Transgender - ( Col. 13),Persons Convicted - Total - ( Col. 14),Persons Discharged - Male - ( Col. 15),Persons Discharged - Female - ( Col. 16),Persons Discharged - Transgender - ( Col. 17),Persons Discharged - Total - ( Col. 18),Persons Acquitted - Male - ( Col. 19),Persons Acquitted - Female - ( Col. 20),Persons Acquitted - Transgender - ( Col. 21),Persons Acquitted - Total - ( Col. 22)
1,The Dowry Prohibition Act,22316,4838,0,27154,34154,7451,0,41605,1589,79,0,1668,149,31,0,180,4691,1153,0,5844
2,The Immoral Traffic (Prevention) Act,3821,1361,1,5183,3500,1153,1,4654,294,170,0,464,31,6,0,37,1169,384,0,1553
3,The Protection of Women from Domestic Violence Act,497,19,0,516,680,40,0,720,17,0,0,17,7,0,0,7,85,3,0,88
4,The Indecent Representation of Women (Prohibition) Act,30,1,0,31,34,1,0,35,3,1,0,4,0,0,0,0,14,0,0,14
Crime Against Women - Related Acts,Crime Against Women - Related Acts,26664,6219,1,32884,38368,8645,1,47014,1903,250,0,2153,187,37,0,224,5959,1540,0,7499
5,The Protection of Children from Sexual Offences Act,76475,1493,1,77969,79503,1442,1,80946,12625,97,0,12722,1431,17,0,1448,29579,536,0,30115
6,The Juvenile Justice (Care and Protection of Children) Act,1616,144,0,1760,2199,141,0,2340,347,13,0,360,56,9,0,65,356,28,0,384
7,The Prohibition of Child Marriage Act,6712,359,0,7071,7244,466,0,7710,120,6,0,126,9,0,0,9,742,90,0,832
8,The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,63,16,0,79,100,11,0,111,141,2,0,143,1,0,0,1,542,10,0,552
9,The Child Labour (Prohibition & Regulation) Act,911,14,0,925,1319,14,0,1333,187,0,0,187,6,0,0,6,123,2,0,125
10,The Medical Termination of Pregnancy Act,42,7,0,49,43,6,0,49,2,0,0,2,1,0,0,1,23,7,0,30
Children Related - Acts,Children Related - Acts,85819,2033,1,87853,90408,2080,1,92489,13422,118,0,13540,1504,26,0,1530,31365,673,0,32038
11,The SC/ST (Prevention of Atrocities) Act for Crimes against SCs,3455,132,0,3587,7227,390,0,7617,4075,7,0,4082,175,4,0,179,3912,180,0,4092
12,The SC/ST (Prevention of Atrocities) Act for Crimes against STs,269,8,0,277,367,14,0,381,33,0,0,33,6,0,0,6,571,26,0,597
13,The Protection of Civil Rights Act for Crimes against SCs,28,2,0,30,20,2,0,22,1,0,0,1,0,0,0,0,300,2,0,302
14,The Protection of Civil Rights Act for Crimes against STs,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
Scheduled Castes and Scheduled Tribes - Related Acts,Scheduled Castes and Scheduled Tribes - Related Acts,3754,142,0,3896,7614,406,0,8020,4109,7,0,4116,181,4,0,185,4789,208,0,4997
15,The Prevention of Damage to Public Property Act,6035,47,8,6090,6787,46,8,6841,2623,2,0,2625,161,0,0,161,1494,14,0,1508
16,The Unlawful Activities (P) Act,2890,24,0,2914,2777,9,0,2786,118,0,0,118,1,0,0,1,86,2,0,88
17,The Official Secrets Act,31,0,0,31,28,0,0,28,16,0,0,16,0,0,0,0,4,0,0,4
Offences against State - Related Acts,Offences against State - Related Acts,8956,71,8,9035,9592,55,8,9655,2757,2,0,2759,162,0,0,162,1584,16,0,1600
18,The Arms Act,87688,51,0,87739,92387,62,0,92449,29869,236,0,30105,2478,0,0,2478,13866,4,0,13870
18.1,Fire Arms,59712,34,0,59746,60777,33,0,60810,16682,2,0,16684,1522,0,0,1522,7433,2,0,7435
18.1A,Legal/Licensed Arms,390,1,0,391,362,1,0,363,78,0,0,78,691,0,0,691,43,0,0,43
18.1B,Illegal/Unlicensed Arms,59322,33,0,59355,60415,32,0,60447,16604,2,0,16606,831,0,0,831,7390,2,0,7392
18.2,Other Arms,27976,17,0,27993,31610,29,0,31639,13187,234,0,13421,956,0,0,956,6433,2,0,6435
19,The Explosives Act,2995,6,0,3001,3298,16,0,3314,1447,3,0,1450,47,0,0,47,475,4,0,479
20,The Explosive Substances Act,2820,9,0,2829,2798,4,0,2802,407,1,0,408,44,0,0,44,461,2,0,463
Arms/Explosive - Related Acts,Arms/Explosive - Related Acts,93503,66,0,93569,98483,82,0,98565,31723,240,0,31963,2569,0,0,2569,14802,10,0,14812
21,The Information Technology Act,14140,279,0,14419,16404,245,0,16649,832,5,0,837,220,0,0,220,1138,23,0,1161
22,The Copy Right Act,2190,3,0,2193,2659,7,0,2666,325,0,0,325,52,1,0,53,1143,3,0,1146
23,The Trade Marks Act,167,2,0,169,129,1,0,130,5,0,0,5,3,0,0,3,35,0,0,35
Information Technology/Intellectual Property - Related Acts,Information Technology/Intellectual Property - Related Acts,16497,284,0,16781,19192,253,0,19445,1162,5,0,1167,275,1,0,276,2316,26,0,2342
24,The Lotteries (Regulation) Act,9864,122,0,9986,8107,87,0,8194,5356,33,0,5389,15,0,0,15,482,0,0,482
25,The Chit Funds Acts,66,15,0,81,61,17,0,78,15,1,0,16,0,0,0,0,3,0,0,3
26,The Negotiable Instruments Act,8,0,0,8,19,0,0,19,0,0,0,0,0,0,0,0,2,0,0,2
27,The Benami Transaction (Prohibition) Act,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
28,The Mines and Minerals (Development and Regulation) Act,17002,36,0,17038,17525,32,0,17557,3372,12,0,3384,44,0,0,44,2997,9,0,3006
29,Prevention of Corruption Act,1710,54,0,1764,1129,19,0,1148,37,0,0,37,18,0,0,18,134,1,0,135
Finance & Economic Acts,Finance & Economic Acts,28652,227,0,28879,26843,155,0,26998,8780,46,0,8826,77,0,0,77,3618,10,0,3628
30,Prohibition Act (State),590412,118630,0,709042,705328,123916,1,829245,483644,70852,0,554496,9750,931,0,10681,167204,33950,0,201154
31,The Excise Act,227690,6585,0,234275,375921,17773,1,393695,243974,14092,0,258066,2040,26,0,2066,52524,1460,1,53985
32,The Narcotic Drugs & Psychotropic Substances Act,147775,4009,3,151787,151463,3287,6,154756,55747,995,1,56743,1266,12,0,1278,11706,323,1,12030
