Sl. No.,Crime Head,Cases Pending Investigation from Previous Year - ( Col. 3),Cases Reported during the year - ( Col. 4),Cases Reopened for Investigation - ( Col. 5),Total Cases for Investigation (Col.3+Col.4+Col.5) - ( Col. 6),Cases Not Investigated Under 157_1_b CRPC - ( Col. 7),Cases Transferred to Other State or Agency - ( Col. 8),Cases Withdrawn by the Govt during Investigation - ( Col. 9),Final Report - Cases Ended as FR Non Cognizable - ( Col. 10),Final Report - Cases Ended as Final Report False - ( Col. 11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - ( Col. 12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - ( Col. 13),Final Report - Cases Abated during Investigation - ( Col. 14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - ( Col. 15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - ( Col. 16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - ( Col. 17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - ( Col. 18),Total Cases Disposed Off by Police (Col.7+8+15+18) - ( Col. 19),Cases Quashed at Investigation Stage - ( Col. 20),Cases Stayed at Investigation Stage - ( Col. 21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - ( Col. 22),Chargesheeting Rate (Col.18/19*100) - ( Col. 23),Pendency Percentage (Col.22/6*100) - ( Col. 24)
1,Murder,112,105,0,217,0,0,0,0,0,1,3,6,10,10,69,79,89,0,0,128,88.8,59.0
1.1,Murder with Rape/POCSO,6,7,0,13,0,0,0,0,0,0,0,0,0,1,5,6,6,0,0,7,100.0,53.8
1.2,Other Murder,106,98,0,204,0,0,0,0,0,1,3,6,10,9,64,73,83,0,0,121,88.0,59.3
2,Abetment of Suicide of Child,23,21,0,44,0,0,0,0,1,1,0,0,2,5,6,11,13,0,0,31,84.6,70.5
3,Attempt to Commit Murder,74,47,0,121,0,0,0,0,1,1,0,0,2,9,27,36,38,0,0,83,94.7,68.6
4,Infanticide,27,6,0,33,0,0,0,0,0,0,3,0,3,2,3,5,8,0,0,25,62.5,75.8
5,Foeticide,18,3,0,21,0,0,0,0,0,0,3,0,3,0,1,1,4,0,0,17,25.0,81.0
6,Exposure and Abandonment,90,108,0,198,0,2,0,0,0,9,76,0,85,3,16,19,106,0,0,92,17.9,46.5
7,Simple Hurt,352,341,0,693,0,0,0,0,4,4,17,0,25,32,235,267,292,0,0,401,91.4,57.9
8,Grievous Hurt,73,28,0,101,0,0,0,0,0,2,0,0,2,3,15,18,20,0,0,81,90.0,80.2
9,Kidnapping and Abduction of Children,14086,12545,0,26631,0,5,0,0,1262,9495,1772,1,12530,546,834,1380,13915,18,0,12698,9.9,47.7
9.1,Kidnapping and Abduction,13639,11828,0,25467,0,5,0,0,1253,9262,1598,1,12114,462,584,1046,13165,18,0,12284,7.9,48.2
9.1A,Missing Children Deemed as Kidnapped,5640,7584,0,13224,0,5,0,0,1107,6142,769,1,8019,211,288,499,8523,0,0,4701,5.9,35.5
9.1B,Other Kidnapping & Abduction,7999,4244,0,12243,0,0,0,0,146,3120,829,0,4095,251,296,547,4642,18,0,7583,11.8,61.9
9.2,Kidnapping and Abduction for the Purpose of Begging,7,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,100.0,85.7
9.3,Kidnapping and Abduction in order to Murder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100.0
9.4,Kidnapping for Ransom,18,12,0,30,0,0,0,0,0,2,0,0,2,0,4,4,6,0,0,24,66.7,80.0
9.5,Kidnapping and Abduction of Minor Girls to compel her for marriage,259,450,0,709,0,0,0,0,9,39,172,0,220,61,199,260,480,0,0,225,54.2,31.7
9.6,Procuration of Minor Girls,53,20,0,73,0,0,0,0,0,0,0,0,0,17,11,28,28,0,0,45,100.0,61.6
9.7,Importation of Girls from Foreign Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
9.8,Other Kidnapping & Abducion,109,235,0,344,0,0,0,0,0,192,2,0,194,5,36,41,235,0,0,109,17.4,31.7
10,Human Trafficking,212,109,0,321,0,1,0,0,0,1,1,0,2,26,28,54,57,0,0,264,94.7,82.2
11,Selling of Minors for Prostitution,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,100.0
11.1,Boys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
11.2,Girls,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,100.0
12,Buying of Minors for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
12.1,Boys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
12.2,Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
13,Rape,3,2,0,5,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3,100.0,60.0
