Sl. No. (Col.1),Crime Head (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Cases Reopened for Investigation (Col.5),Total Cases for Investigation (Col.3+Col.4+Col.5) (Col.6),Cases Not Investigated Under 157_1_b CRPC (Col.7),Cases Transferred to Other State or Agency (Col.8),Cases Withdrawn by the Govt during Investigation (Col.9),Final Report - Cases Ended as FR Non Cognizable (Col.10),Final Report - Cases Ended as Final Report False (Col.11),Final Report - Cases Ended as Mistake of Fact or of Law or Civil Dispute (Col.12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.13),Final Report - Cases Abated during Investigation (Col.14),Final Report - Total (Col.10+Col.11+Col.12+Col.13+Col.14) (Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Prev. Year (Col.16),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.17),Chargesheets Submitted - Cases Chargesheeted (Col.16+Col.17) (Col.18),Total Cases Disposed Off by Police (Col.7+8+15+18) (Col.19),Cases Quashed at Investigation Stage (Col.20),Cases Stayed at Investigation Stage (Col.21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) (Col.22),Chargesheeting Rate (Col.18/19*100) (Col.23),Pendency Percentage (Col.22/6*100) (Col.24)
1,Murder,1173,2004,1,3178,0,7,0,0,42,51,69,16,178,506,1335,1841,2026,0,2,1152,90.9,36.2
2,Culpable Homicide not amounting to Murder,185,274,0,459,0,0,0,0,1,9,22,3,35,62,154,216,251,1,1,207,86.1,45.1
3,Causing Death by Negligence,5042,9968,4,15014,0,6,0,1,24,280,2285,204,2794,2508,5294,7802,10602,7,2,4405,73.6,29.3
3.1,Deaths due to Negligence relating to Road Accidents,4004,8463,2,12469,0,3,0,1,8,240,2129,201,2579,2061,4562,6623,9205,0,0,3264,72,26.2
3.1A,Hit and Run,1386,3496,0,4882,0,2,0,1,3,143,1147,35,1329,728,1729,2457,3788,0,0,1094,64.9,22.4
3.1B,Other Accidents,2618,4967,2,7587,0,1,0,0,5,97,982,166,1250,1333,2833,4166,5417,0,0,2170,76.9,28.6
3.2,Deaths due to Negligence relating to Rail Accidents,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,100
3.3,Deaths due to Medical Negligence,10,17,0,27,0,0,0,0,0,6,1,0,7,2,3,5,12,0,1,15,41.7,55.6
3.4,Deaths due to Negligence of Civic Bodies,36,22,0,58,0,0,0,0,5,1,2,0,8,12,11,23,31,0,0,27,74.2,46.6
3.5,Deaths due to other Negligence,992,1465,2,2459,0,3,0,0,11,33,153,3,200,433,718,1151,1354,7,1,1098,85,44.7
4,Dowry Deaths,222,392,0,614,0,0,0,0,3,19,5,0,27,139,258,397,424,0,2,190,93.6,30.9
5,Abetment of Suicide,865,771,2,1638,0,1,0,0,28,57,31,0,116,249,356,605,722,2,3,914,83.8,55.8
6,Attempt to Commit Murder,2760,3714,0,6474,0,2,0,0,51,104,165,8,328,1237,2128,3365,3695,4,5,2775,91.1,42.9
7,Attempt to commit Culpable Homicide,1526,1143,0,2669,0,1,0,0,2,24,37,0,63,748,563,1311,1375,3,0,1291,95.3,48.4
8,Attempt to Commit Suicide,210,134,0,344,0,1,0,0,5,12,15,1,33,30,61,91,125,0,1,219,72.8,63.7
9,"Miscarriage, Infanticide, Foeticide and Abandonment",159,185,0,344,0,2,0,0,0,9,99,0,108,10,62,72,182,0,0,162,39.6,47.1
10,Hurt,37040,44954,1,81995,0,15,0,47,851,1938,1720,24,4580,13655,26696,40351,44946,60,23,36989,89.8,45.1
10.1,Simple Hurt,30824,39508,1,70333,0,13,0,44,800,1799,1611,19,4273,11625,23675,35300,39586,50,21,30697,89.2,43.6
10.1A,Voluntarily Causing Simple Hurt,13772,19643,0,33415,0,6,0,24,563,1378,782,2,2749,4707,12140,16847,19602,18,11,13795,85.9,41.3
10.1B,Voluntarily causing hurt by Dangerous weapons or means,14191,17359,0,31550,0,7,0,20,220,370,594,16,1220,6149,10175,16324,17551,31,7,13968,93,44.3
10.1C,Voluntarily Causing hurt/Force to deter public servant from his duty,1253,1127,1,2381,0,0,0,0,9,32,52,1,94,401,604,1005,1099,1,1,1281,91.4,53.8
10.1D,Causing Hurt by act endangering life/safety of others,902,803,0,1705,0,0,0,0,7,14,101,0,122,226,358,584,706,0,1,999,82.7,58.6
10.1E,Other Simple Hurt,706,576,0,1282,0,0,0,0,1,5,82,0,88,142,398,540,628,0,1,654,86,51
10.2,Grievous Hurt,6216,5446,0,11662,0,2,0,3,51,139,109,5,307,2030,3021,5051,5360,10,2,6292,94.2,54
10.2A,Voluntarily causing grievous hurt,3262,2810,0,6072,0,0,0,3,20,120,47,4,194,1088,1851,2939,3133,8,0,2931,93.8,48.3
10.2B,Voluntarily causing grievous hurt by dangerous weapons or means,2578,1754,0,4332,0,0,0,0,20,11,38,1,70,815,991,1806,1876,1,0,2455,96.3,56.7
10.2C,Acid Attack,24,29,0,53,0,0,0,0,1,2,1,0,4,4,17,21,25,0,0,28,84,52.8
10.2D,Attempt to Acid Attack,24,12,0,36,0,1,0,0,1,0,1,0,2,3,10,13,16,0,0,20,81.3,55.6
10.2E,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,22,80,0,102,0,0,0,0,1,0,7,0,8,14,44,58,66,0,1,36,87.9,35.3
10.2F,Causing Grevious Hurt by act endangering life/safety of others,298,753,0,1051,0,1,0,0,8,5,14,0,27,103,102,205,233,1,1,817,88,77.7
10.2G,Other Grevious Hurt,8,8,0,16,0,0,0,0,0,1,1,0,2,3,6,9,11,0,0,5,81.8,31.3
11,Wrongful Restraint/Confinement,355,725,0,1080,0,0,0,2,18,16,72,0,108,144,449,593,701,0,0,379,84.6,35.1
12,Assault on Women with Intent to Outrage her Modesty,6169,9248,0,15417,1,32,0,16,385,291,454,4,1150,2692,5471,8163,9346,39,16,6032,87.3,39.1
12.1,Assault on Women with Intent to Outrage her Modesty,1892,4103,0,5995,0,19,0,12,244,140,175,3,574,1245,2221,3466,4059,18,10,1918,85.4,32
12.2,Sexual Harassment,1715,2257,0,3972,0,5,0,3,93,98,108,1,303,491,1421,1912,2220,9,4,1743,86.1,43.9
12.2A,at Work or Office Premises,59,56,0,115,0,0,0,0,3,0,1,0,4,16,34,50,54,2,0,59,92.6,51.3
12.2B,In Public Transport System,53,28,0,81,0,0,0,0,2,2,6,0,10,12,16,28,38,0,0,43,73.7,53.1
12.2C,In Shelter Homes for women and Children,103,163,0,266,0,0,0,0,26,27,0,0,53,6,78,84,137,0,0,129,61.3,48.5
12.2D,Other Places,1500,2010,0,3510,0,5,0,3,62,69,101,1,236,457,1293,1750,1991,7,4,1512,87.9,43.1
12.3,Assault or use of Criminal Force on women with intent to Disrobe,578,659,0,1237,0,0,0,0,8,10,21,0,39,274,434,708,747,5,0,485,94.8,39.2
12.4,Voyeurism,250,253,0,503,0,0,0,0,8,4,15,0,27,85,126,211,238,0,0,265,88.7,52.7
12.5,Stalking,1734,1976,0,3710,1,8,0,1,32,39,135,0,207,597,1269,1866,2082,7,2,1621,89.6,43.7
13,Kidnapping and Abduction,17928,15039,0,32967,0,7,0,0,1467,9999,2283,1,13750,1746,1565,3311,17068,25,1,15874,19.4,48.2
13.1,Kidnapping and Abduction,14037,12606,0,26643,0,5,0,0,1406,9412,1694,1,12513,528,666,1194,13712,19,1,12912,8.7,48.5
13.1A,Missing Children Deemed as Kidnapped,5640,7584,0,13224,0,5,0,0,1107,6142,769,1,8019,211,288,499,8523,0,0,4701,5.9,35.5
13.1B,Other Kidnapping and Abduction,8397,5022,0,13419,0,0,0,0,299,3270,925,0,4494,317,378,695,5189,19,1,8211,13.4,61.2
13.2,Kidnapping and Abduction for the Purpose of Begging,7,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,6,100,85.7
13.3,Kidnapping and Abduction in order to Murder,51,20,0,71,0,0,0,0,0,3,7,0,10,8,9,17,27,0,0,44,63,62
13.4,Kidnapping for Ransom,90,105,0,195,0,2,0,0,5,6,2,0,13,27,40,67,82,2,0,111,81.7,56.9
13.5,Kidnapping and Abduction of Women to compel her for marriage,1628,1082,0,2710,0,0,0,0,23,68,509,0,600,394,403,797,1397,0,0,1313,57.1,48.5
13.6,Procuration of Minor Girls,53,20,0,73,0,0,0,0,0,0,0,0,0,17,11,28,28,0,0,45,100,61.6
13.7,Importation of Girls from Foreign Country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
13.8,Other Kidnapping and Abducion,2062,1206,0,3268,0,0,0,0,33,510,71,0,614,771,436,1207,1821,4,0,1443,66.3,44.2
14,Human Trafficking,321,221,0,542,0,1,0,0,2,1,1,0,4,84,94,178,183,0,0,359,97.3,66.2
15,Exploitation of Trafficked Person,35,64,0,99,0,0,0,0,0,0,0,0,0,13,42,55,55,0,0,44,100,44.4
16,Selling of Minors for Prostitution,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,100
17,Buying of Minors for Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
18,Rape,1299,3606,0,4905,0,17,0,1,295,68,70,0,434,693,2397,3090,3541,12,8,1352,87.3,27.6
19,Attempt to Commit Rape,43,34,0,77,0,1,0,0,10,4,3,0,17,10,14,24,42,1,0,34,57.1,44.2
20,Unnatural Offences,155,134,0,289,0,0,0,0,3,5,4,1,13,65,84,149,162,5,1,122,92,42.2
Offences Affecting the Human Body (Total),Offences Affecting the Human Body (Total),75491,92610,8,168109,1,93,0,67,3187,12887,7335,262,23738,24591,47023,71614,95446,159,65,72504,75,43.1
21,Offences against State,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,7,100,77.8
21.1,Sedition,9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,7,100,77.8
21.2,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Offences against the State (Total),Offences against the State (Total),9,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,7,100,77.8
22,Unlawful Assembly,3085,1047,0,4132,0,0,0,0,52,42,269,0,363,117,377,494,857,7,0,3268,57.6,79.1
23,Riots,2213,1219,0,3432,0,1,0,3,28,16,68,0,115,580,512,1092,1208,3,2,2221,90.4,64.7
23.1,Communal/Religious,151,10,0,161,0,0,0,0,0,0,20,0,20,19,2,21,41,0,0,120,51.2,74.5
23.2,Sectarian,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,100,50
23.3,Industrial,6,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,100,83.3
23.4,Political,67,30,0,97,0,0,0,0,0,2,5,0,7,9,12,21,28,0,0,69,75,71.1
23.5,Caste Conflict,53,4,0,57,0,0,0,0,0,0,1,0,1,1,3,4,5,0,0,52,80,91.2
