Sl. No.,Crime Head,Within 2 Months,2 to 3 Months,3 to 6 Months,6 to 12 Months,1 to 2 Years,More than 2 Years,Total FR Submitted
1,The Dowry Prohibition Act,418,352,649,641,307,32,2399
2,The Immoral Traffic (Prevention) Act,9,2,16,10,21,7,65
3,The Protection of Women from Domestic Violence Act,5,9,21,25,4,0,64
4,The Indecent Representation of Women (Prohibition) Act,0,0,3,1,1,0,5
Crime Against Women - Related Acts,Crime Against Women - Related Acts,432,363,689,677,333,39,2533
5,The Protection of Children from Sexual Offences Act,1451,828,566,421,239,42,3547
6,The Juvenile Justice (Care and Protection of Children) Act,46,42,57,26,21,7,199
7,The Prohibition of Child Marriage Act,49,110,75,45,5,2,286
8,The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,1,2,0,0,0,0,3
9,The Child Labour (Prohibition and Regulation) Act,12,6,23,20,22,7,90
10,The Medical Termination of Pregnancy Act,0,0,2,0,0,0,2
Children Related - Acts,Children Related - Acts,1559,988,723,512,287,58,4127
11,The SC/ST (Prevention of Atrocities) Act for Crimes against SCs,316,259,182,151,123,14,1045
12,The SC/ST (Prevention of Atrocities) Act for Crimes against STs,12,21,35,40,46,3,157
13,The Protection of Civil Rights Act for Crimes against SCs,1,0,0,1,1,0,3
14,The Protection of Civil Rights Act for Crimes against STs,0,0,0,0,0,0,0
Scheduled Castes and Scheduled Tribes - Related Acts,Scheduled Castes and Scheduled Tribes - Related Acts,329,280,217,192,170,17,1205
15,The Prevention of Damage to Public Property Act,170,126,154,95,147,86,778
16,The Unlawful Activities (P) Act,16,5,7,35,113,86,262
17,The Official Secrets Act,0,0,0,2,3,4,9
Offences against State - Related Acts,Offences against State - Related Acts,186,131,161,132,263,176,1049
18,The Arms Act,161,109,140,191,161,99,861
19,The Explosives Act,15,4,12,14,14,5,64
20,The Explosive Substances Act,25,22,49,80,47,33,256
Arms/Explosive - Related Acts,Arms/Explosive - Related Acts,201,135,201,285,222,137,1181
21,The Information Technology Act,2342,4439,6984,5371,3198,857,23191
22,The Copy Right Act,9,29,44,54,58,41,235
23,The Trade Marks Act,0,4,0,2,9,6,21
Information Technology/Intellectual Property - Related Acts,Information Technology/Intellectual Property - Related Acts,2351,4472,7028,5427,3265,904,23447
24,The Lotteries (Regulation) Act,4,7,21,19,26,46,123
25,The Chit Funds Acts,0,1,4,6,0,2,13
26,The Negotiable Instruments Act,0,0,0,3,1,2,6
27,The Benami Transaction (Prohibition) Act,0,0,0,0,0,0,0
28,The Mines and Minerals (Development and Regulation) Act,56,105,121,149,153,75,659
29,Prevention of Corruption Act,9,10,14,20,19,14,86
Finance and Economic Acts,Finance and Economic Acts,69,123,160,197,199,139,887
30,Prohibition Act (State),3038,1104,1222,1015,3927,1801,12107
31,The Excise Act,2669,425,331,372,194,40,4031
32,The Narcotic Drugs and Psychotropic Substances Act,611,334,294,369,308,287,2203
Liquor and Narcotic Drugs - Related Acts,Liquor and Narcotic Drugs - Related Acts,6318,1863,1847,1756,4429,2128,18341
33,The Forest Act and The Forest Conservation Act,36,46,44,30,20,4,180
34,The Wildlife Protection Act,16,8,11,18,7,0,60
35,The Environmental (Protection) Act,8,5,4,1,1,1,20
36,The Air and The Water (Prevention and Control of Pollution) Act,2,0,0,0,1,0,3
37,The Cigarette and Other Tobacco Products Act,12,23,33,49,412,407,936
38,Noise Pollution Acts,3,2,2,0,2,0,9
39,The National Green Tribunal Act,0,0,0,6,0,1,7
Environment and Pollution- Related Acts,Environment and Pollution- Related Acts,77,84,94,104,443,413,1215
40,The Registration of Foreigners Act and The Foreigners Act,8,2,2,7,7,7,33
41,The Passport Act,4,0,7,8,9,6,34
42,The Emigration Act,1,2,1,5,3,4,16
43,The Citizenship Act,0,0,0,0,0,0,0
Foreigner and Passport - Related Acts,Foreigner and Passport - Related Acts,13,4,10,20,19,17,83
44,The Indian Railways Act,13,7,9,44,0,0,73
45,The Railway Property (Unlawful Possession) Act,0,0,6,2,0,0,8
Railways - Related Acts,Railways - Related Acts,13,7,15,46,0,0,81
46,The Indian Telegraph Act,0,2,3,7,1,0,13
47,The Telegraph Wire (Unlawful Possession) Act,0,2,2,0,0,0,4
48,The Cinematograph Act,0,0,3,1,0,0,4
49,The Cable Television Networks (Regulation) Act,0,0,0,0,0,0,0
Telegraph/Cinematograph Acts,Telegraph/Cinematograph Acts,0,4,8,8,1,0,21
50,The Essential Commodities Act,38,44,60,72,222,11,447
51,The Prevention of Food Adulteration Act,0,0,0,0,0,0,0
52,The Food Safety and Standards Act,0,1,3,0,3,0,7
"Food, Drugs and Essential Commodities Acts","Food, Drugs and Essential Commodities Acts",38,45,63,72,225,11,454
53,MCOCA/Control of Organised Crimes,0,0,1,1,0,1,3
54,The Gambling Act,20,17,47,55,80,95,314
55,The Electricity Act,33307,20944,23912,8324,7875,1048,95410
56,The Antiques and Art Treasures Act,0,0,1,4,3,0,8
57,The Representation of the People Act,3,9,38,33,10,2,95
58,The Bonded Labour System (Abolition) Act,46,79,11,126,95,0,357
59,The Prevention of Insults to National Honour Act,3,3,2,2,5,3,18
60,Defacement of Public Property Acts,84,109,108,104,94,9,508
61,The Transplantation of Human Organs Act,0,0,0,0,2,1,3
62,Transgender Persons (Protection of Rights) Act,1,0,0,0,1,1,3
63,The Mental Health Act,180,47,66,33,8,5,339
64,Motor Vehicle Act,61,25,8,4,5,0,103
65,City/Town Police Acts,14,49,107,74,19316,1161,20721
66,Other State Local Acts,346,215,261,332,152,78,1384
Other Regulatory and Enforcement - Acts,Other Regulatory and Enforcement - Acts,34065,21497,24562,9092,27646,2404,119266
67,Other SLL Crimes,1748,1525,1544,1380,3942,740,10879
Total Cognizable SLL Crimes,Total Cognizable SLL Crimes,47399,31521,37322,19900,41444,7183,184769
