Sl. No.,State/UT,Murder (Sec.302 IPC) - ( Col. 3),Culpable Homicide not amounting to Murder (Sec.304 IPC) - ( Col. 4),Infanticide (Sec.315 IPC) - ( Col. 5),Foeticide (Sec.316 IPC) - ( Col. 6),Dowry Deaths (Sec.304B IPC) - ( Col. 7),Attempt to Commit Murder (Sec.307 IPC) - ( Col. 8),Attempt to Commit Culpable Homicide (Sec.308 IPC) - ( Col. 9),"Grievous Hurt (Sec.325, 326, 326A & 326B IPC) - ( Col. 10)",Kidnapping and Abduction (Sec.363-369 IPC) - ( Col. 11),Rape (Sec.376 IPC) - ( Col. 12),Attempt to Commit Rape (Sec.376 r/w 511 IPC) - ( Col. 13),Rioting (Sec.147-151 & 153A IPC) - ( Col. 14),Robbery (Sec.392 to 394 IPC) - ( Col. 15),Dacoity (Sec.395 to 398 IPC) - ( Col. 16),Arson (Sec.435 to 438 IPC) - ( Col. 17),Total Violent Crimes (Cols.3 to 17) - ( Col. 18)
1,Andhra Pradesh,922,135,1,2,95,1331,8,1678,746,438,112,268,197,33,466,6432
2,Arunachal Pradesh,57,5,0,0,1,24,0,156,64,71,5,20,35,2,14,454
3,Assam,1025,72,1,0,101,903,2,3460,3563,989,173,295,679,86,203,11552
4,Bihar,2862,143,0,0,1143,8657,495,16682,14371,902,47,4182,2257,223,201,52165
5,Chhattisgarh,958,44,3,24,46,687,2,1012,2991,1171,5,958,373,58,270,8602
6,Goa,26,9,0,0,1,26,1,73,77,97,0,31,11,0,11,363
7,Gujarat,968,148,3,5,12,890,85,3461,1792,634,0,131,541,136,170,8976
8,Haryana,1042,67,16,6,207,935,195,3182,4149,1772,199,1835,648,122,351,14726
9,Himachal Pradesh,93,12,0,0,0,74,1,502,439,344,3,333,8,2,58,1869
10,Jharkhand,1463,45,4,0,218,2576,1,2578,1664,1221,66,1840,487,113,98,12374
11,Karnataka,1322,79,1,1,156,3015,44,2412,3744,656,10,4164,1842,179,277,17902
12,Kerala,352,120,0,0,8,991,2792,2450,306,843,54,1116,884,75,264,10255
13,Madhya Pradesh,1832,217,12,20,468,1723,156,5794,11768,2979,38,855,1251,55,759,27927
14,Maharashtra,2208,257,9,4,170,3513,85,7529,13106,2930,0,8861,5942,586,1049,46249
15,Manipur,151,5,0,2,1,818,2,165,89,27,0,5421,330,1213,6203,14427
16,Meghalaya,62,5,2,0,0,53,0,81,94,66,12,6,55,13,34,483
17,Mizoram,24,8,0,0,0,19,4,36,5,36,1,0,18,0,22,173
18,Nagaland,19,10,0,0,0,23,0,19,37,10,3,2,10,0,13,146
19,Odisha,1362,46,0,0,231,5571,0,11491,6125,1195,123,1655,2956,370,624,31749
20,Punjab,681,218,1,5,44,1015,76,1873,1574,457,23,0,107,48,71,6193
21,Rajasthan,1804,69,1,8,428,2648,789,595,9882,5078,845,403,1602,113,394,24659
22,Sikkim,12,3,0,0,0,7,0,20,36,9,0,7,2,0,11,107
23,Tamil Nadu,1681,157,6,0,11,2363,17,1984,496,365,41,1305,2212,133,531,11302
24,Telangana,954,194,1,1,145,1605,10,1480,3174,817,41,502,526,50,569,10069
25,Tripura,101,1,0,0,21,142,0,853,132,57,5,110,5,4,110,1541
26,Uttar Pradesh,3206,1098,0,6,2122,3312,2644,11854,16663,3516,140,3160,1354,73,305,49453
27,Uttarakhand,183,70,0,2,48,271,7,270,1264,421,20,799,195,11,9,3570
28,West Bengal,1686,224,2,1,350,12092,3894,17279,8233,1110,825,477,285,54,326,46838
Total State (S),Total State (S),27056,3461,63,87,6027,55284,11310,98969,106584,28211,2791,38736,24812,3752,13413,420556
29,Andaman and Nicobar Islands,8,2,0,0,0,9,20,39,22,14,0,2,5,0,1,122
30,Chandigarh,17,2,0,0,4,22,2,29,161,102,1,23,17,3,2,385
31,Dadra and Nagar Haveli and Daman and Diu,20,1,0,0,0,11,0,29,49,6,1,8,6,1,6,138
32,Delhi,506,72,2,0,115,757,622,371,5715,1094,0,44,1654,29,91,11072
33,Jammu and Kashmir,84,18,2,1,9,438,0,42,1004,231,2,425,91,3,96,2446
34,Ladakh,2,0,0,0,0,1,0,0,5,2,0,6,0,0,0,16
35,Lakshadweep,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,5
36,Puducherry,28,1,0,0,1,25,0,109,24,9,1,15,14,4,16,247
Total UT (S),Total UT (S),665,96,4,1,129,1265,644,619,6980,1459,5,524,1787,40,213,14431
Total All India,Total All India,27721,3557,67,88,6156,56549,11954,99588,113564,29670,2796,39260,26599,3792,13626,434987
