Sl. No.,City,2021,2022,2023,Chargesheeting Rate (2023)
1,Ahmedabad (Gujarat),691,829,832,66.3
2,Bengaluru (Karnataka),1342,1578,1982,36.3
3,Chennai (Tamil Nadu),546,514,573,98.5
4,Coimbatore (Tamil Nadu),106,83,193,95.4
5,Delhi City,7029,7400,7731,31.7
6,Ghaziabad (Uttar Pradesh),136,189,208,86.4
7,Hyderabad (Telangana),621,645,692,72.3
8,Indore (Madhya Pradesh),1081,1082,1236,45.4
9,Jaipur (Rajasthan),728,980,1099,36.9
10,Kanpur (Uttar Pradesh),196,437,426,71.2
11,Kochi (Kerala),138,206,230,85.7
12,Kolkata (West Bengal),497,602,297,99.4
13,Kozhikode (Kerala),162,265,250,83.5
14,Lucknow (Uttar Pradesh),633,398,844,52.3
15,Mumbai (Maharashtra),2762,3178,3110,32.8
16,Nagpur (Maharashtra),936,765,802,50.1
17,Patna (Bihar),137,127,144,87.5
18,Pune (Maharashtra),835,732,1234,47.6
19,Surat (Gujarat),479,540,550,42.8
Total Cities,Total Cities,19055,20550,22433,42.9
