Sl. No.,City,Offences affecting the Human Body - Murder (Sec.302 IPC) - ( Col. 3),Offences affecting the Human Body - Culpable Homicide not amounting to Murder (Sec. 304 IPC) - ( Col. 4),Offences affecting the Human Body - Causing Death by Negligence (Sec. 304A IPC) - ( Col. 5),Offences affecting the Human Body - Dowry Deaths (Sec.304B IPC) - ( Col. 6),Offences affecting the Human Body - Abetment of Suicide (Sec. 305/306 IPC) - ( Col. 7),Offences affecting the Human Body - Attempt to Commit Murder (Sec. 307 IPC) - ( Col. 8),Offences affecting the Human Body - Attempt to commit Culpable Homicide (Sec. 308 IPC) - ( Col. 9),Offences affecting the Human Body - Attempt to Commit Suicide (Sec. 309 IPC) - ( Col. 10),"Offences affecting the Human Body - Miscarriage, Infanticide, Foeticide and Abandonment (Sec. 313-317 IPC) - ( Col. 11)",Offences affecting the Human Body - Hurt - ( Col. 12),Offences affecting the Human Body - Wrongful Restraint/Confinement (Sec.341-348 IPC) - ( Col. 13),Offences affecting the Human Body - Assault on Women with Intent to Outrage her Modesty (Sec. 354 IPC) - ( Col. 14),Offences affecting the Human Body - Kidnapping and Abduction (Sec.363-369 IPC) - ( Col. 15),Offences affecting the Human Body - Human Trafficking (Sec. 370 IPC) - ( Col. 16),Offences affecting the Human Body - Exploitation of Trafficked Person (Sec. 370A IPC) - ( Col. 17),Offences affecting the Human Body - Selling of Minors for Prostitution (Sec. 372 IPC) - ( Col. 18),Offences affecting the Human Body - Buying of Minors for Prostitution (Sec. 373 IPC) - ( Col. 19),Offences affecting the Human Body - Rape (Sec. 376 IPC) - ( Col. 20),Offences affecting the Human Body - Attempt to Commit Rape (Sec.376/511 IPC) - ( Col. 21),Offences affecting the Human Body - Unnatural Offences (Sec. 377 IPC) - ( Col. 22),Offences affecting the Human Body - Offences Affecting the Human Body (Total) - ( Col. 23),Offences against State - Offences against State (Sec. 121-124 IPC) - ( Col. 24),Offences against State - Offences against the State (Total) - ( Col. 25),Offences against Public Tranquility - Unlawful Assembly (Sec.143-145 IPC) - ( Col. 26),Offences against Public Tranquility - Rioting (Sec.147-151 IPC) - ( Col. 27),Offences against Public Tranquility - Offences promoting enmity between different groups (Sec.153A & 153B IPC) - ( Col. 28),Offences against Public Tranquility - Affray (Sec. 159 & 160 IPC) - ( Col. 29),Offences against Public Tranquility - Offences against Public Tranquility (Total) - ( Col. 30),Offences against Property - Theft (Sec.379-382 IPC) - ( Col. 31),Offences against Property - Burglary (Sec.454-460 r/w 380 IPC) - ( Col. 32),Offences against Property - Extortion & Blackmailing (Sec.384-389 IPC) - ( Col. 33),Offences against Property - Robbery (392/394/397 IPC) - ( Col. 34),Offences against Property - Attempt to Commit Dacoity/Robbery (Sec.393/398 IPC) - ( Col. 35),Offences against Property - Dacoity (Sec. 395/397 IPC) - ( Col. 36),Offences against Property - Making Preparation and Assembly for committing Dacoity (Sec.399 & 402 IPC) - ( Col. 37),Offences against Property - Criminal Misappropriation (Sec.403&404 IPC) - ( Col. 38),Offences against Property - Criminal Breach of Trust (Sec.406-409 IPC) - ( Col. 39),Offences against Property - Dishonestly Receiving/Dealing-in Stolen Property (Sec.411-414 IPC) - ( Col. 40),Offences against Property - Offences against Property (Total) - ( Col. 41),"Offences Relating to Documents & Property Marks - Counterfeiting (Sec.231-235,237,238,240 & 242-254 IPC) - ( Col. 42)","Offences Relating to Documents & Property Marks - Forgery, Cheating & Fraud (Sec.420 r/w 465,468-471 IPC/IT Act) - ( Col. 43)",Offences Relating to Documents & Property Marks - Offences Relating to Documents & Property Marks (Total) - ( Col. 44),Miscellaneous IPC Crimes - Offences relating to Elections (Sec.171E to 171I r/w IPC/SLL) - ( Col. 45),Miscellaneous IPC Crimes - Disobedience to order duly promulgated by Public Servant (Sec. 188 IPC) - ( Col. 46),Miscellaneous IPC Crimes - Harbouring an Offender (Sec.212/216/216A IPC) - ( Col. 47),Miscellaneous IPC Crimes - Offences relating to Adulteration or Sale of Food/Drugs (Sec.272-276 IPC) - ( Col. 48),Miscellaneous IPC Crimes - Rash Driving on Public way (Sec. 279/279 r/w336 IPC) - ( Col. 49),Miscellaneous IPC Crimes - Obstruction on Public way (Sec.283 IPC) - ( Col. 50),Miscellaneous IPC Crimes - Sale of obscene Books/Objects (Sec292 & 293 IPC) - ( Col. 51),Miscellaneous IPC Crimes - Obscene Acts and Songs at Public Places (Sec.294 IPC) - ( Col. 52),Miscellaneous IPC Crimes - Offences relating to Religion (Sec.295-297 IPC) - ( Col. 53),Miscellaneous IPC Crimes - Cheating by Impersonation (Sec.419 IPC) - ( Col. 54),Miscellaneous IPC Crimes - Offences related to Mischief (Sec.428-433 IPC) - ( Col. 55),"Miscellaneous IPC Crimes - Arson (Sec.435,436 & 438 IPC) - ( Col. 56)",Miscellaneous IPC Crimes - Criminal Trespass (Sec.447 to 452 IPC) - ( Col. 57),Miscellaneous IPC Crimes - Cruelty by Husband or his Relatives (Sec.498A IPC) - ( Col. 58),Miscellaneous IPC Crimes - Circulate False/Fake News/ Rumours (Sec.505 IPC/ Sec. 505 r/w IT Act) - ( Col. 59),Miscellaneous IPC Crimes - Criminal Intimidation (Sec.506 IPC/ Sec.506 IPC r/w Other IPC) - ( Col. 60),Miscellaneous IPC Crimes - Insult to the Modesty of Women (Sec.509 IPC) - ( Col. 61),Miscellaneous IPC Crimes - Miscellaneous IPC Crimes (Total) - ( Col. 62),Other IPC crimes - ( Col. 63),Total Cognizable IPC crimes - ( Col. 64)
1,Ahmedabad (Gujarat),11,0,0,0,1,10,0,0,0,77,0,7,5,0,0,0,0,1,0,0,112,0,0,0,0,0,0,0,131,20,0,4,0,1,0,0,0,0,156,0,2,2,0,6,0,0,18,2,0,0,0,0,0,1,3,0,0,53,0,83,23,376
2,Bengaluru (Karnataka),13,0,19,1,2,35,0,0,0,28,0,4,0,0,0,0,0,0,0,0,102,0,0,0,3,0,0,3,88,11,3,42,0,2,5,0,0,0,151,0,3,3,0,0,0,0,54,0,0,0,0,0,1,1,0,0,0,2,1,59,54,372
3,Chennai (Tamil Nadu),8,2,5,0,0,27,1,0,0,87,0,4,1,0,0,0,0,0,0,0,135,0,0,0,6,0,0,6,200,29,3,44,2,4,1,0,0,0,283,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,3,0,23,21,468
4,Coimbatore (Tamil Nadu),1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16
5,Delhi City,102,1,8,0,0,147,38,0,0,298,0,55,20,0,0,0,0,50,0,4,723,0,0,0,3,0,0,3,903,91,3,210,0,5,0,0,1,0,1213,0,13,13,0,0,0,0,39,3,0,0,0,1,0,3,2,2,0,4,3,57,83,2092
6,Ghaziabad (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Hyderabad (Telangana),2,0,1,0,0,13,0,0,0,12,0,8,0,0,0,0,0,32,0,0,68,0,0,0,1,1,0,2,77,5,1,5,0,0,0,0,0,0,88,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,4,7,172
8,Indore (Madhya Pradesh),9,0,0,0,0,23,3,0,0,10,1,0,4,1,0,0,0,0,0,2,53,0,0,0,0,1,0,1,16,16,0,19,1,0,3,0,0,1,56,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,113
9,Jaipur (Rajasthan),2,0,2,0,0,4,0,0,0,28,0,5,7,0,0,0,0,8,0,0,56,0,0,3,0,0,0,3,70,17,0,6,0,1,0,0,0,0,94,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,22,179
10,Kanpur (Uttar Pradesh),3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,6,0,5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
11,Kochi (Kerala),1,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,17,2,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,31
12,Kolkata (West Bengal),3,0,2,0,0,4,0,0,0,16,0,4,11,0,0,0,0,4,0,0,44,0,0,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,15,0,1,1,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,0,5,21,9,91
13,Kozhikode (Kerala),0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,16,9,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36
14,Lucknow (Uttar Pradesh),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Mumbai (Maharashtra),8,1,3,0,0,15,0,0,1,64,0,20,5,0,0,0,0,3,0,0,120,0,0,0,7,0,0,7,46,11,2,17,1,0,2,0,0,0,79,0,1,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,1,10,7,224
16,Nagpur (Maharashtra),6,0,1,0,0,8,0,0,0,53,0,3,2,0,0,0,0,15,0,3,91,0,0,0,7,0,0,7,79,32,1,19,0,3,1,0,0,0,135,0,0,0,0,0,0,0,8,0,0,7,0,0,0,2,1,0,0,0,0,18,0,251
17,Patna (Bihar),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
18,Pune (Maharashtra),11,0,2,0,3,32,1,0,0,52,1,9,4,0,0,0,0,10,0,3,128,0,0,0,22,2,1,25,59,7,1,25,0,3,3,0,0,0,98,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,5,0,257
19,Surat (Gujarat),12,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,0,2,113,23,0,1,0,1,0,0,0,0,138,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,185
