record_id,district,statistical_month,statistical_year,base_incident_count,predicted_risk_level
DRS-BEL-2023-01,Belagavi,1,2023,213,MEDIUM
DRS-BEL-2023-02,Belagavi,2,2023,183,LOW
DRS-BEL-2023-03,Belagavi,3,2023,212,MEDIUM
DRS-BEL-2023-04,Belagavi,4,2023,232,HIGH
DRS-BEL-2023-05,Belagavi,5,2023,226,HIGH
DRS-BEL-2023-06,Belagavi,6,2023,206,MEDIUM
DRS-BEL-2023-07,Belagavi,7,2023,214,MEDIUM
DRS-BEL-2023-08,Belagavi,8,2023,204,MEDIUM
DRS-BEL-2023-09,Belagavi,9,2023,227,HIGH
DRS-BEL-2023-10,Belagavi,10,2023,203,MEDIUM
DRS-BEL-2023-11,Belagavi,11,2023,186,LOW
DRS-BEL-2023-12,Belagavi,12,2023,232,HIGH
DRS-BEL-2024-01,Belagavi,1,2024,194,LOW
DRS-BEL-2024-02,Belagavi,2,2024,208,MEDIUM
DRS-BEL-2024-03,Belagavi,3,2024,201,MEDIUM
DRS-BEL-2024-04,Belagavi,4,2024,204,MEDIUM
DRS-BEL-2024-05,Belagavi,5,2024,200,MEDIUM
DRS-BEL-2024-06,Belagavi,6,2024,216,HIGH
DRS-BEL-2024-07,Belagavi,7,2024,184,LOW
DRS-BEL-2024-08,Belagavi,8,2024,203,MEDIUM
DRS-BEL-2024-09,Belagavi,9,2024,216,HIGH
DRS-BEL-2024-10,Belagavi,10,2024,218,HIGH
DRS-BEL-2024-11,Belagavi,11,2024,193,LOW
DRS-BEL-2024-12,Belagavi,12,2024,197,MEDIUM
DRS-BEL-2025-01,Belagavi,1,2025,203,MEDIUM
DRS-BEL-2025-02,Belagavi,2,2025,196,MEDIUM
DRS-BEL-2025-03,Belagavi,3,2025,199,MEDIUM
DRS-BEL-2025-04,Belagavi,4,2025,190,LOW
DRS-BEL-2025-05,Belagavi,5,2025,203,MEDIUM
DRS-BEL-2025-06,Belagavi,6,2025,213,MEDIUM
DRS-BEL-2025-07,Belagavi,7,2025,202,MEDIUM
DRS-BEL-2025-08,Belagavi,8,2025,198,MEDIUM
DRS-BEL-2025-09,Belagavi,9,2025,175,LOW
DRS-BEL-2025-10,Belagavi,10,2025,200,MEDIUM
DRS-BEL-2025-11,Belagavi,11,2025,211,MEDIUM
DRS-BEL-2025-12,Belagavi,12,2025,215,MEDIUM
DRS-BGU-2023-01,Bengaluru Urban,1,2023,914,MEDIUM
DRS-BGU-2023-02,Bengaluru Urban,2,2023,925,MEDIUM
DRS-BGU-2023-03,Bengaluru Urban,3,2023,975,HIGH
DRS-BGU-2023-04,Bengaluru Urban,4,2023,920,MEDIUM
DRS-BGU-2023-05,Bengaluru Urban,5,2023,943,MEDIUM
DRS-BGU-2023-06,Bengaluru Urban,6,2023,1010,HIGH
DRS-BGU-2023-07,Bengaluru Urban,7,2023,928,MEDIUM
DRS-BGU-2023-08,Bengaluru Urban,8,2023,1002,HIGH
DRS-BGU-2023-09,Bengaluru Urban,9,2023,973,HIGH
DRS-BGU-2023-10,Bengaluru Urban,10,2023,994,HIGH
DRS-BGU-2023-11,Bengaluru Urban,11,2023,896,LOW
DRS-BGU-2023-12,Bengaluru Urban,12,2023,909,LOW
DRS-BGU-2024-01,Bengaluru Urban,1,2024,890,LOW
DRS-BGU-2024-02,Bengaluru Urban,2,2024,922,MEDIUM
DRS-BGU-2024-03,Bengaluru Urban,3,2024,975,HIGH
DRS-BGU-2024-04,Bengaluru Urban,4,2024,945,MEDIUM
DRS-BGU-2024-05,Bengaluru Urban,5,2024,946,MEDIUM
DRS-BGU-2024-06,Bengaluru Urban,6,2024,956,MEDIUM
DRS-BGU-2024-07,Bengaluru Urban,7,2024,896,LOW
DRS-BGU-2024-08,Bengaluru Urban,8,2024,871,LOW
DRS-BGU-2024-09,Bengaluru Urban,9,2024,905,LOW
DRS-BGU-2024-10,Bengaluru Urban,10,2024,947,MEDIUM
DRS-BGU-2024-11,Bengaluru Urban,11,2024,911,MEDIUM
DRS-BGU-2024-12,Bengaluru Urban,12,2024,983,HIGH
DRS-BGU-2025-01,Bengaluru Urban,1,2025,942,MEDIUM
DRS-BGU-2025-02,Bengaluru Urban,2,2025,881,LOW
DRS-BGU-2025-03,Bengaluru Urban,3,2025,940,MEDIUM
DRS-BGU-2025-04,Bengaluru Urban,4,2025,918,MEDIUM
DRS-BGU-2025-05,Bengaluru Urban,5,2025,935,MEDIUM
DRS-BGU-2025-06,Bengaluru Urban,6,2025,964,MEDIUM
DRS-BGU-2025-07,Bengaluru Urban,7,2025,940,MEDIUM
DRS-BGU-2025-08,Bengaluru Urban,8,2025,897,LOW
DRS-BGU-2025-09,Bengaluru Urban,9,2025,910,MEDIUM
DRS-BGU-2025-10,Bengaluru Urban,10,2025,990,HIGH
DRS-BGU-2025-11,Bengaluru Urban,11,2025,930,MEDIUM
DRS-BGU-2025-12,Bengaluru Urban,12,2025,955,MEDIUM
DRS-HBD-2023-01,Hubballi-Dharwad,1,2023,313,MEDIUM
DRS-HBD-2023-02,Hubballi-Dharwad,2,2023,308,MEDIUM
DRS-HBD-2023-03,Hubballi-Dharwad,3,2023,292,LOW
DRS-HBD-2023-04,Hubballi-Dharwad,4,2023,329,MEDIUM
DRS-HBD-2023-05,Hubballi-Dharwad,5,2023,281,LOW
DRS-HBD-2023-06,Hubballi-Dharwad,6,2023,301,MEDIUM
DRS-HBD-2023-07,Hubballi-Dharwad,7,2023,295,LOW
DRS-HBD-2023-08,Hubballi-Dharwad,8,2023,332,HIGH
DRS-HBD-2023-09,Hubballi-Dharwad,9,2023,322,MEDIUM
DRS-HBD-2023-10,Hubballi-Dharwad,10,2023,321,MEDIUM
DRS-HBD-2023-11,Hubballi-Dharwad,11,2023,337,HIGH
DRS-HBD-2023-12,Hubballi-Dharwad,12,2023,330,HIGH
DRS-HBD-2024-01,Hubballi-Dharwad,1,2024,348,HIGH
DRS-HBD-2024-02,Hubballi-Dharwad,2,2024,311,MEDIUM
DRS-HBD-2024-03,Hubballi-Dharwad,3,2024,344,HIGH
DRS-HBD-2024-04,Hubballi-Dharwad,4,2024,296,LOW
DRS-HBD-2024-05,Hubballi-Dharwad,5,2024,303,MEDIUM
DRS-HBD-2024-06,Hubballi-Dharwad,6,2024,269,LOW
DRS-HBD-2024-07,Hubballi-Dharwad,7,2024,322,MEDIUM
DRS-HBD-2024-08,Hubballi-Dharwad,8,2024,336,HIGH
DRS-HBD-2024-09,Hubballi-Dharwad,9,2024,289,LOW
DRS-HBD-2024-10,Hubballi-Dharwad,10,2024,295,LOW
DRS-HBD-2024-11,Hubballi-Dharwad,11,2024,314,MEDIUM
DRS-HBD-2024-12,Hubballi-Dharwad,12,2024,323,MEDIUM
DRS-HBD-2025-01,Hubballi-Dharwad,1,2025,327,MEDIUM
DRS-HBD-2025-02,Hubballi-Dharwad,2,2025,272,LOW
DRS-HBD-2025-03,Hubballi-Dharwad,3,2025,343,HIGH
DRS-HBD-2025-04,Hubballi-Dharwad,4,2025,345,HIGH
DRS-HBD-2025-05,Hubballi-Dharwad,5,2025,301,MEDIUM
DRS-HBD-2025-06,Hubballi-Dharwad,6,2025,306,MEDIUM
DRS-HBD-2025-07,Hubballi-Dharwad,7,2025,306,MEDIUM
DRS-HBD-2025-08,Hubballi-Dharwad,8,2025,328,MEDIUM
DRS-HBD-2025-09,Hubballi-Dharwad,9,2025,321,MEDIUM
DRS-HBD-2025-10,Hubballi-Dharwad,10,2025,308,MEDIUM
DRS-HBD-2025-11,Hubballi-Dharwad,11,2025,302,MEDIUM
DRS-HBD-2025-12,Hubballi-Dharwad,12,2025,324,MEDIUM
DRS-MNG-2023-01,Mangaluru,1,2023,345,HIGH
DRS-MNG-2023-02,Mangaluru,2,2023,294,LOW
DRS-MNG-2023-03,Mangaluru,3,2023,348,HIGH
DRS-MNG-2023-04,Mangaluru,4,2023,298,LOW
DRS-MNG-2023-05,Mangaluru,5,2023,329,MEDIUM
DRS-MNG-2023-06,Mangaluru,6,2023,308,MEDIUM
DRS-MNG-2023-07,Mangaluru,7,2023,329,MEDIUM
DRS-MNG-2023-08,Mangaluru,8,2023,342,HIGH
DRS-MNG-2023-09,Mangaluru,9,2023,351,HIGH
DRS-MNG-2023-10,Mangaluru,10,2023,322,MEDIUM
DRS-MNG-2023-11,Mangaluru,11,2023,317,MEDIUM
DRS-MNG-2023-12,Mangaluru,12,2023,321,MEDIUM
DRS-MNG-2024-01,Mangaluru,1,2024,335,HIGH
DRS-MNG-2024-02,Mangaluru,2,2024,314,MEDIUM
DRS-MNG-2024-03,Mangaluru,3,2024,314,MEDIUM
DRS-MNG-2024-04,Mangaluru,4,2024,319,MEDIUM
DRS-MNG-2024-05,Mangaluru,5,2024,329,MEDIUM
DRS-MNG-2024-06,Mangaluru,6,2024,292,LOW
DRS-MNG-2024-07,Mangaluru,7,2024,314,MEDIUM
