year_month,incident_count
2023-01-01,212
2023-02-01,199
2023-03-01,208
2023-04-01,229
2023-05-01,225
2023-06-01,193
2023-07-01,190
2023-08-01,189
2023-09-01,193
2023-10-01,215
2023-11-01,196
2023-12-01,151
2024-01-01,203
2024-02-01,182
2024-03-01,187
2024-04-01,208
2024-05-01,212
2024-06-01,189
2024-07-01,170
2024-08-01,171
2024-09-01,198
2024-10-01,203
2024-11-01,192
2024-12-01,202
2025-01-01,345
2025-02-01,187
2025-03-01,183
2025-04-01,207
2025-05-01,207
2025-06-01,179
2025-07-01,166
2025-08-01,181
2025-09-01,182
2025-10-01,190
2025-11-01,190
2025-12-01,195
