year_month,incident_count
2023-01-01,320
2023-02-01,322
2023-03-01,289
2023-04-01,347
2023-05-01,352
2023-06-01,298
2023-07-01,283
2023-08-01,271
2023-09-01,305
2023-10-01,336
2023-11-01,328
2023-12-01,340
2024-01-01,312
2024-02-01,303
2024-03-01,564
2024-04-01,342
2024-05-01,346
2024-06-01,306
2024-07-01,283
2024-08-01,297
2024-09-01,301
2024-10-01,329
2024-11-01,310
2024-12-01,330
2025-01-01,323
2025-02-01,310
2025-03-01,314
2025-04-01,336
2025-05-01,336
2025-06-01,297
2025-07-01,279
2025-08-01,282
2025-09-01,474
2025-10-01,337
2025-11-01,331
2025-12-01,347
