year_month,incident_count
2023-01-01,962
2023-02-01,870
2023-03-01,911
2023-04-01,1037
2023-05-01,1100
2023-06-01,933
2023-07-01,872
2023-08-01,892
2023-09-01,922
2023-10-01,1027
2023-11-01,1082
2023-12-01,1137
2024-01-01,1039
2024-02-01,941
2024-03-01,1030
2024-04-01,1095
2024-05-01,1132
2024-06-01,1014
2024-07-01,968
2024-08-01,992
2024-09-01,1008
2024-10-01,1114
2024-11-01,1077
2024-12-01,1214
2025-01-01,1084
2025-02-01,1057
2025-03-01,1054
2025-04-01,1141
2025-05-01,822
2025-06-01,1107
2025-07-01,1000
2025-08-01,1061
2025-09-01,1115
2025-10-01,1176
2025-11-01,1150
2025-12-01,1316
