year_month,incident_count
2023-01-01,326
2023-02-01,309
2023-03-01,296
2023-04-01,338
2023-05-01,350
2023-06-01,320
2023-07-01,303
2023-08-01,286
2023-09-01,300
2023-10-01,312
2023-11-01,314
2023-12-01,340
2024-01-01,314
2024-02-01,286
2024-03-01,311
2024-04-01,307
2024-05-01,337
2024-06-01,301
2024-07-01,256
2024-08-01,264
2024-09-01,285
2024-10-01,301
2024-11-01,274
2024-12-01,315
2025-01-01,281
2025-02-01,281
2025-03-01,274
2025-04-01,317
2025-05-01,305
2025-06-01,264
2025-07-01,255
2025-08-01,244
2025-09-01,270
2025-10-01,300
2025-11-01,258
2025-12-01,298
