year_month,incident_count
2023-01-01,319
2023-02-01,312
2023-03-01,301
2023-04-01,325
2023-05-01,358
2023-06-01,306
2023-07-01,287
2023-08-01,295
2023-09-01,306
2023-10-01,341
2023-11-01,324
2023-12-01,347
2024-01-01,348
2024-02-01,322
2024-03-01,314
2024-04-01,359
2024-05-01,356
2024-06-01,323
2024-07-01,307
2024-08-01,297
2024-09-01,334
2024-10-01,338
2024-11-01,342
2024-12-01,389
2025-01-01,340
2025-02-01,323
2025-03-01,329
2025-04-01,357
2025-05-01,380
2025-06-01,331
2025-07-01,311
2025-08-01,324
2025-09-01,338
2025-10-01,382
2025-11-01,344
2025-12-01,414
